location_name,permit_number,start_time,stop_time,duration_minutes
AKELEY (EX STW) PS,AnW0003,2021-01-18T09:45:00,2021-01-18T10:00:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-18T10:30:00,2021-01-18T10:45:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-18T10:45:00,2021-01-18T11:00:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-18T11:15:00,2021-01-18T11:30:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-18T11:45:00,2021-01-18T12:00:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-18T12:00:00,2021-01-18T12:15:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-18T12:30:00,2021-01-18T12:45:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-18T14:00:00,2021-01-18T14:15:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-18T18:15:00,2021-01-18T18:30:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-18T19:30:00,2021-01-18T19:45:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-20T18:15:00,2021-01-20T19:45:00,90.0
AKELEY (EX STW) PS,AnW0003,2021-01-20T19:45:00,2021-01-20T20:15:00,30.0
AKELEY (EX STW) PS,AnW0003,2021-01-20T20:15:00,2021-01-20T21:00:00,45.0
AKELEY (EX STW) PS,AnW0003,2021-01-20T21:00:00,2021-01-20T21:15:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-20T21:15:00,2021-01-20T21:30:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-20T21:30:00,2021-01-20T21:45:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-20T22:00:00,2021-01-20T22:15:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-20T22:15:00,2021-01-23T01:30:00,3075.0
AKELEY (EX STW) PS,AnW0003,2021-01-23T01:30:00,2021-01-23T02:00:00,30.0
AKELEY (EX STW) PS,AnW0003,2021-01-23T02:00:00,2021-01-23T02:15:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-23T02:30:00,2021-01-23T03:00:00,30.0
AKELEY (EX STW) PS,AnW0003,2021-01-23T03:15:00,2021-01-23T03:45:00,30.0
AKELEY (EX STW) PS,AnW0003,2021-01-23T04:00:00,2021-01-23T04:30:00,30.0
AKELEY (EX STW) PS,AnW0003,2021-01-23T04:45:00,2021-01-23T05:00:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-23T05:30:00,2021-01-23T06:00:00,30.0
AKELEY (EX STW) PS,AnW0003,2021-01-23T06:15:00,2021-01-23T06:45:00,30.0
AKELEY (EX STW) PS,AnW0003,2021-01-23T07:00:00,2021-01-23T09:15:00,135.0
AKELEY (EX STW) PS,AnW0003,2021-01-23T09:15:00,2021-01-23T10:30:00,75.0
AKELEY (EX STW) PS,AnW0003,2021-01-23T10:45:00,2021-01-23T11:00:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-23T11:00:00,2021-01-23T11:45:00,45.0
AKELEY (EX STW) PS,AnW0003,2021-01-23T12:00:00,2021-01-23T12:15:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-23T12:15:00,2021-01-23T12:30:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-23T12:45:00,2021-01-23T13:00:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-23T13:00:00,2021-01-23T13:15:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-23T13:30:00,2021-01-23T13:45:00,15.0
