location_name,permit_number,start_time,stop_time,duration_minutes
21 HIGH STREET CSO,AnW0194,2022-04-03T07:45:00,2022-04-03T08:00:00,15.0
21 HIGH STREET CSO,AnW0194,2022-04-05T05:30:00,2022-04-05T05:45:00,15.0
21 HIGH STREET CSO,AnW0194,2022-04-06T10:00:00,2022-04-06T10:15:00,15.0
21 HIGH STREET CSO,AnW0194,2022-04-30T04:45:00,2022-04-30T05:00:00,15.0
21 HIGH STREET CSO,AnW0194,2022-05-03T08:15:00,2022-05-03T08:30:00,15.0
21 HIGH STREET CSO,AnW0194,2022-05-03T15:00:00,2022-05-03T15:15:00,15.0
21 HIGH STREET CSO,AnW0194,2022-05-04T07:00:00,2022-05-04T07:15:00,15.0
21 HIGH STREET CSO,AnW0194,2022-05-06T01:30:00,2022-05-06T01:45:00,15.0
21 HIGH STREET CSO,AnW0194,2022-05-10T23:30:00,2022-05-10T23:45:00,15.0
21 HIGH STREET CSO,AnW0194,2022-06-04T00:30:00,2022-06-04T00:45:00,15.0
21 HIGH STREET CSO,AnW0194,2022-06-09T00:30:00,2022-06-09T00:45:00,15.0
21 HIGH STREET CSO,AnW0194,2022-08-16T21:00:00,2022-08-16T21:30:00,30.0
21 HIGH STREET CSO,AnW0194,2022-08-17T00:00:00,2022-08-17T00:30:00,30.0
21 HIGH STREET CSO,AnW0194,2022-10-01T20:30:00,2022-10-01T20:45:00,15.0
21 HIGH STREET CSO,AnW0194,2022-10-05T05:30:00,2022-10-05T05:45:00,15.0
21 HIGH STREET CSO,AnW0194,2022-10-08T05:45:00,2022-10-08T06:00:00,15.0
21 HIGH STREET CSO,AnW0194,2022-10-20T06:30:00,2022-10-20T08:30:00,120.0
21 HIGH STREET CSO,AnW0194,2022-10-23T09:15:00,2022-10-23T09:45:00,30.0
21 HIGH STREET CSO,AnW0194,2022-11-16T22:00:00,2022-11-16T22:30:00,30.0
30 KETTERING ROAD CSO,AnW0195,2022-07-10T18:30:00,2022-07-10T19:00:00,30.0
30 KETTERING ROAD CSO,AnW0195,2022-09-28T04:00:00,2022-09-28T04:15:00,15.0
30 KETTERING ROAD CSO,AnW0195,2022-09-29T03:30:00,2022-09-29T03:45:00,15.0
30 KETTERING ROAD CSO,AnW0195,2022-10-01T03:00:00,2022-10-01T03:15:00,15.0
30 KETTERING ROAD CSO,AnW0195,2022-10-01T06:15:00,2022-10-01T06:30:00,15.0
30 KETTERING ROAD CSO,AnW0195,2022-10-01T08:00:00,2022-10-01T08:15:00,15.0
30 KETTERING ROAD CSO,AnW0195,2022-10-06T07:45:00,2022-10-06T08:00:00,15.0
30 KETTERING ROAD CSO,AnW0195,2022-10-08T08:00:00,2022-10-08T08:15:00,15.0
30 KETTERING ROAD CSO,AnW0195,2022-10-09T03:45:00,2022-10-09T04:00:00,15.0
30 KETTERING ROAD CSO,AnW0195,2022-10-15T04:45:00,2022-10-15T05:00:00,15.0
30 KETTERING ROAD CSO,AnW0195,2022-10-16T02:45:00,2022-10-16T03:00:00,15.0
30 KETTERING ROAD CSO,AnW0195,2022-10-16T08:45:00,2022-10-16T09:00:00,15.0
30 KETTERING ROAD CSO,AnW0195,2022-10-17T05:00:00,2022-10-17T05:15:00,15.0
30 KETTERING ROAD CSO,AnW0195,2022-10-18T00:00:00,2022-10-18T00:15:00,15.0
30 KETTERING ROAD CSO,AnW0195,2022-10-18T19:15:00,2022-10-18T19:30:00,15.0
30 KETTERING ROAD CSO,AnW0195,2022-10-18T22:15:00,2022-10-18T22:30:00,15.0
30 KETTERING ROAD CSO,AnW0195,2022-10-19T00:30:00,2022-10-19T00:45:00,15.0
30 KETTERING ROAD CSO,AnW0195,2022-10-19T03:00:00,2022-10-19T03:15:00,15.0
30 KETTERING ROAD CSO,AnW0195,2022-10-19T04:45:00,2022-10-19T05:00:00,15.0
30 KETTERING ROAD CSO,AnW0195,2022-10-19T06:45:00,2022-10-19T07:00:00,15.0
30 KETTERING ROAD CSO,AnW0195,2022-10-19T08:15:00,2022-10-19T08:30:00,15.0
5 SSO AT WELLINGBOROUGH,AnW1457,2022-02-20T17:15:00,2022-02-20T17:30:00,15.0
5 SSO AT WELLINGBOROUGH,AnW1457,2022-02-20T18:00:00,2022-02-20T18:15:00,15.0
5 SSO AT WELLINGBOROUGH,AnW1457,2022-05-18T22:45:00,2022-05-18T23:00:00,15.0
